,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
32,0.2,1,0.0634871679750934,1.569562518064618,0.06959746300886253,2.1620252500462773,0.08653670290872213,1.8894881254654041,0.08190683679222133,2.6478985487178286,2
33,0.0,5,0.006574379934119384,0.27778033826766657,1.5373349891711907e-09,2.0441345790256497e-09,0.007873138755785066,0.34262943569361853,1.7565627200951443e-09,2.2714376444171143e-09,0
34,0.0,5,0.007907728311919398,0.3494317929768173,8.587065068269932e-10,1.2911892494836833e-09,0.009628646605139214,0.4296552113579311,1.0320372256014943e-09,1.4702749800843445e-09,1
35,0.0,5,0.009830678544489465,0.1855080878866769,4.811475664649271e-10,1.0213652571162744e-09,0.011324750732645349,0.2219402124078086,7.647354023502847e-10,1.2621793285098118e-09,2
36,0.02,5,0.011175806169561073,0.36159351912427923,0.0027722822258618917,0.0033575375563405247,0.012981836492287069,0.45701884393868164,0.003846685849340542,0.005406528950038802,0
37,0.02,5,0.008159339445104026,0.2933768423899857,0.00578310562220588,0.008820246658380918,0.009504043457701785,0.3644576309107715,0.006898756028628535,0.009818250138440777,1
38,0.02,5,0.009726131813400393,0.3162921073535176,0.006347025949322635,0.013161428838130856,0.011538870238647166,0.41119330713356433,0.008868447001298184,0.014024080245599138,2
39,0.04,5,0.011916850148329987,0.2745587613962897,0.006875728494175404,0.015372089972302425,0.01475766242264806,0.3198753612313172,0.01023128937469892,0.016837891858675486,0
40,0.04,5,0.008551606609744475,0.591689145591689,0.008335975804432773,0.0172751565377334,0.012012436421901343,0.726126785871563,0.012980938226553787,0.021669801011536996,1
41,0.04,5,0.009499233153085478,0.5880979978050317,0.011655459076785083,0.019826261480758132,0.013269494466061127,0.7241245605072465,0.015666357773235016,0.024407503692931848,2
42,0.06,5,0.01993888412022737,0.6666410138359179,0.01036591693963656,0.008416457361134834,0.023283677441067286,0.8136373257005594,0.011757602226588412,0.010133524100869016,0
43,0.06,5,0.01636351920675434,0.7345330344602794,0.012520150625425875,0.02255219205953519,0.018767300677555204,0.9109752010984421,0.016349297187031857,0.025426338950368745,1
44,0.06,5,0.01080952486439167,0.23529427502768652,0.009285904313643914,0.01708883433798841,0.01391383706030892,0.28313497849133945,0.012468868445321794,0.01959670913299921,2
45,0.08,5,0.058930506633846025,0.7011596756897264,0.02223824354317236,0.0367411375992375,0.06901279273958656,0.8239767529978387,0.028072338195821157,0.03986952862463158,0
46,0.08,5,0.014275362176775113,0.21349039044166473,0.010014466514499195,0.008857840726711448,0.016470228054681305,0.2806898005557896,0.011383147112849691,0.01027523475643734,1
47,0.08,5,0.024840633008090578,0.36082170838286864,0.011794723232106289,0.018170148429184352,0.02833811975789509,0.48793535122608495,0.014410456685414371,0.020774558786330746,2
48,0.1,5,0.02096967054566104,0.23470981810317956,0.023674911238419104,0.0237848413383776,0.023885652372403986,0.31496365704128526,0.028323108401524247,0.029397075675513546,0
49,0.1,5,0.024485563830469754,0.2158435601510742,0.03561929328510686,0.05847993739231196,0.02923640811084678,0.2859626119746452,0.04370115792245825,0.06295463835621576,1
50,0.1,5,0.021623309331188625,0.36801941876217087,0.020470242069387842,0.02780844702401177,0.02685784466384661,0.4222059393974976,0.024157653491521523,0.03173391590162448,2
51,0.12,5,0.029681438619839146,0.43582519702420697,0.022615599328904577,0.0371084430963013,0.03943316557146069,0.547402824173005,0.0285104287080333,0.04024788646674526,0
52,0.12,5,0.03661724973139154,0.4840000356167161,0.027671937310625505,0.0490669837018776,0.05065437284297969,0.5648206979007357,0.034181717067572996,0.052232381459268645,1
53,0.12,5,0.02624780005610823,0.3186463535960761,0.020105073654150325,0.02868616473894706,0.03049778348395253,0.3823930567270441,0.0237759044890484,0.032390332531661466,2
54,0.14,5,0.0695463172920926,0.7556157735092903,0.07045816826101514,0.08290010625588669,0.0750833565593298,0.9121222895437214,0.0786636043213744,0.08646393897665304,0
55,0.14,5,0.014752900538820325,0.16230260037879846,0.03590458620380916,0.05165538727576162,0.017826976228731316,0.19924496056905341,0.041189902288329264,0.05542724297978559,1
56,0.14,5,0.02533473635620664,0.7097036383590265,0.019921282076327373,0.03302447420272586,0.028965294542739356,0.8629610852186262,0.02457641269215338,0.036165904316286655,2
57,0.16,5,0.07874120500769805,0.7999296100572129,0.031182894640417038,0.027600434066790483,0.09147839797059466,0.9407156805187197,0.04017742819992066,0.031371958781086624,0
58,0.16,5,0.03818868054642434,1.3514021332063764,0.06721781163300619,0.09521932020746048,0.047295829800010944,1.6070828844055425,0.07595626180429177,0.09815075310975996,1
59,0.16,5,0.052666780195950474,0.5453948264147441,0.016588484238242003,0.00906037728530337,0.06207708745853488,0.600136504610063,0.022462922419251862,0.010939032454037684,2
60,0.18,5,0.047242849283598995,0.18456885627537697,0.038712435115719444,0.04018996758170414,0.05553045302011329,0.19684870706241392,0.047235787495337266,0.0517746956805289,0
61,0.18,5,0.04778250570584063,0.34727444470147617,0.032413372365622535,0.018877676945822295,0.05704445961032759,0.4185363544132007,0.03919225312985514,0.02897218203808708,1
