,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
55,0.02,tanh,0.005274044918366975,0.15412988801620275,0.005063777462276655,0.09750545703233551,0.006506842661160787,0.18102999942466438,0.006067206577408918,0.1224726352491353,5,2
56,0.02,tanh,0.007249766997676427,0.0073488516249296835,0.015554252371477704,0.11556764282663685,0.008339938409371913,0.00977450236683767,0.02007526037855136,0.12223268173738021,6,2
57,0.02,tanh,0.017513539237818097,0.027006465042699435,0.008811765103308184,0.07067495942128048,0.022217756698184453,0.02809961486533571,0.014479901841363467,0.07416540784522564,7,2
58,0.02,tanh,0.015733220693446293,0.06715830718711002,0.013450107178981213,0.0328042994224888,0.018440884101650915,0.0687104995423634,0.016795048183810644,0.03446868080586881,8,2
59,0.02,tanh,0.008842837715374382,0.019473841913424928,0.007746021236320053,0.25523914546917126,0.010782967202027567,0.024124982740480007,0.009873066129345747,0.2836840610755653,9,2
60,0.04,tanh,0.015852645054386227,0.02950981208311245,0.03614525625260174,0.011917220328135863,0.019741658779989135,0.033231401675543594,0.04359213111098963,0.013116272821434726,0,0
61,0.04,tanh,0.0419323742556582,0.1497208801084029,0.021210774843700146,0.04044540462496506,0.048335406054508125,0.15831303724760634,0.025932582587893088,0.05100588973513563,1,0
62,0.04,tanh,0.013826746697635985,0.06324682067883863,0.02285919551785538,0.12981238605293424,0.01679516668474647,0.0681617524057187,0.028706415395085068,0.13269733193922045,2,0
63,0.04,tanh,0.01903874825239825,0.015445304313731945,0.02410096999197185,0.17162085644488245,0.027123936904615006,0.019827172609965894,0.03171820553680898,0.22335335780914162,3,0
64,0.04,tanh,0.010895624669935293,0.040041234874335446,0.01271206270769332,0.03223487220684278,0.013929720615981942,0.04301831421453775,0.013680841973489686,0.03351350743896439,4,0
65,0.04,tanh,0.014039789228089154,0.08850892676593713,0.007677961917591149,0.1001382354128727,0.01640529389231851,0.11143469832374685,0.009339504030930793,0.12535040396944216,5,0
66,0.04,tanh,0.017053226425227285,0.054337159172624674,0.012332621459534957,0.06258403071766794,0.021271113435201067,0.057252772908701934,0.014103094490807443,0.07884690793014283,6,0
67,0.04,tanh,0.008636722146275512,0.00903578372231067,0.007640331674402106,0.01812480190587176,0.013686011978176755,0.013369489400886713,0.009661456177859585,0.019208274774268473,7,0
68,0.04,tanh,0.015160086606931094,0.030602111723613018,0.024046136118675517,0.009287732066315968,0.01916857898028248,0.03819377652054903,0.029010304285876785,0.011023877738456428,8,0
69,0.04,tanh,0.016396035231641657,0.09999731927524526,0.0087973631033978,0.028427690144877792,0.022198011385768702,0.10389403225011515,0.01022787922984387,0.03369311168990548,9,0
70,0.04,tanh,0.023409922922964843,0.09997081360673991,0.03635921922265579,0.012620485360787897,0.026590239901413935,0.10911467793422618,0.04345529774079862,0.01384934914284536,0,1
71,0.04,tanh,0.02598269616552785,0.2505987315797677,0.017382643005249773,0.008796187054627525,0.031899468667669274,0.26651444906999827,0.027465410075309643,0.009521811107529391,1,1
72,0.04,tanh,0.01931530994978196,0.02602230487301892,0.014731885607969031,0.15593451355015758,0.022743850989791817,0.029436190511730582,0.01911734449651488,0.16026316583069425,2,1
73,0.04,tanh,0.01820037502276411,0.036397362863094286,0.021176779351410255,0.2426970348604681,0.021076261432361534,0.04243888289771732,0.024643740860678963,0.3058576174594343,3,1
74,0.04,tanh,0.012748836417168619,0.04793905935150235,0.006575127053539404,0.04745092879908479,0.019385320744784936,0.04967391636347797,0.0090669765031402,0.048328555458574785,4,1
75,0.04,tanh,0.015158760175883683,0.07324928405621527,0.007798875084684452,0.08759331762571254,0.017810615482320623,0.09023308966141137,0.009545725654412432,0.1101777465653435,5,1
76,0.04,tanh,0.010042417495283099,0.008328260351136506,0.015962265546699658,0.6263407201493603,0.012913646578623553,0.010041615332915631,0.01882548191247367,0.7662102393246404,6,1
77,0.04,tanh,0.009777066174689127,0.014623709436259114,0.008950027578039728,0.08564376685327565,0.01292404131033072,0.01728005609938805,0.015665444421256478,0.08837615253207583,7,1
78,0.04,tanh,0.01115693461596611,0.042460862958582556,0.014895442382020677,0.026975928862515087,0.01263544008987163,0.05084671066218822,0.018548532814774265,0.031073173021519324,8,1
79,0.04,tanh,0.018263473236428334,0.11355997119302304,0.009738436242038668,0.30991941467197304,0.024375919325036105,0.11490386435588724,0.010991529049719407,0.3665684492684069,9,1
80,0.04,tanh,0.01584558864033635,0.15252463373954367,0.04113983625416083,0.03462430041501222,0.019921420007526915,0.16238587317868028,0.05135249309490593,0.04684632571770568,0,2
81,0.04,tanh,0.018341717015256352,0.16463477620764344,0.018859330889308155,0.23175394377188985,0.022649966366025627,0.17129097438757815,0.022535348645004033,0.25554275894732137,1,2
82,0.04,tanh,0.012940602701853494,0.24230443683798794,0.03527903138684636,0.7584758234112113,0.016881909707901686,0.26243696389345905,0.04311520829632211,0.8878001442185469,2,2
83,0.04,tanh,0.021710009646804623,0.3509689562912977,0.021625104777681012,0.19056718287202568,0.02711033757644348,0.3917715634359535,0.024548478947129304,0.247444434149729,3,2
84,0.04,tanh,0.012908429856065886,0.025148179565998057,0.010729203189049593,0.04045030331564538,0.01628858276372982,0.02704612105723327,0.012120180044543866,0.04147617435527329,4,2
